Area, Totale
Medicine non convenzionali,1692
Nefrologia,2255
Neuropsichiatria infantile,144
Neuroradiologia,876
Oculistica,16825
Odontoiatria e odontostomatologia,11445
Oncologia medica,7923
Ortodonzia,577
Ortopedia,22899
Otorinolaringoiatria,13635
Pediatria,4917
Pneumologia,3071
Psichiatria,19846
Psicologia,26595
Psicoterapia,118
Radiologia,2656
Radiologia interventistica,218
Radioterapia,458
Reumatologia,2163
Scienza dell'alimentazione,4143
Senologia,6176
Terapia del dolore,146
Urologia,31507
